卫视频道,#genre#
浙江卫视,http://69.30.246.194/live/zjws.m3u8
湖南卫视,http://69.30.246.194/live/hnws.m3u8
东方卫视,http://69.30.246.194/live/dfws.m3u8
江苏卫视,http://69.30.246.194/live/jsws.m3u8
天津卫视,http://38.75.136.137:98/gslb/dsdqca/tjwshd.m3u8?auth=test20251009
深圳卫视,http://38.64.72.148:80/hls/modn/list/4007/playlist.m3u8
江西卫视,http://38.75.136.137:98/gslb/dsdqpub/jxwshd.m3u8?auth=testpub
天津卫视,http://38.75.136.137:98/gslb/dsdqpub/tjwshd.m3u8?auth=testpub
山东卫视,http://38.75.136.137:98/gslb/dsdqpub/sdwshd.m3u8?auth=testpub
三沙卫视,http://38.75.136.137:98/gslb/dsdqpub/ssws.m3u8?auth=testpub
深圳卫视,http://38.75.136.137:98/gslb/dsdqpub/szwshd.m3u8?auth=testpub
东方卫视,http://38.75.136.137:98/gslb/dsdqpub/dfwshd.m3u8?auth=testpub
厦门卫视,http://38.75.136.137:98/gslb/dsdqpub/xmws.m3u8?auth=testpub
江苏卫视,http://38.75.136.137:98/gslb/dsdqpub/jswshd.m3u8?auth=testpub
广东卫视,http://38.75.136.137:98/gslb/dsdqpub/gdwshd.m3u8?auth=testpub
甘肃卫视,http://38.75.136.137:98/gslb/dsdqpub/gswshd.m3u8?auth=testpub
黑龙江卫视,http://38.75.136.137:98/gslb/dsdqpub/hljwshd.m3u8?auth=testpub
安徽卫视,http://38.75.136.137:98/gslb/dsdqpub/ahwshd.m3u8?auth=testpub
四川卫视,http://38.75.136.137:98/gslb/dsdqpub/scwshd.m3u8?auth=testpub
广西卫视,http://38.75.136.137:98/gslb/dsdqpub/gxwshd.m3u8?auth=testpub
山西卫视,http://38.75.136.137:98/gslb/dsdqpub/sxwshd.m3u8?auth=testpub
贵州卫视,http://38.75.136.137:98/gslb/dsdqpub/gzwshd.m3u8?auth=testpub
贵州卫视,http://23.237.228.134/live6/hainan.m3u8
深圳卫视,http://23.237.228.134/live6/shenzhen.m3u8
广西卫视,http://23.237.228.134/live6/guizhou.m3u8
宁夏卫视,http://38.75.136.137:98/gslb/dsdqpub/nxws.m3u8?auth=testpub
云南卫视,http://23.237.228.134/live8/yunnan.m3u8
江西卫视,http://23.237.228.134/live8/jiangxi.m3u8
吉林卫视,http://38.75.136.137:98/gslb/dsdqpub/jlwshd.m3u8?auth=testpub
湖南卫视,http://23.237.228.134/live6/hunan.m3u8
青海卫视,http://23.237.228.134/live8/qinghai.m3u8
山西卫视,http://23.237.228.134/live8/shanxi.m3u8
内蒙古卫视,http://23.237.228.134/live8/neimenggu.m3u8
陕西卫视,http://23.237.228.134/live6/sichuan.m3u8
安徽卫视,http://23.237.228.134/live8/anhui.m3u8
北京卫视,http://23.237.228.134/live3/beijing.m3u8
吉林卫视,http://23.237.228.134/live8/jilin.m3u8
广东卫视,http://23.237.228.134/live6/guangdong.m3u8
重庆卫视,http://23.237.228.134/live6/chongqing.m3u8
辽宁卫视,http://23.237.228.134/live8/liaoning.m3u8
河北卫视,http://23.237.228.134/live8/hebei.m3u8
湖北卫视,http://23.237.228.134/live6/hubei.m3u8
天津卫视,http://23.237.228.134/live8/tianjing.m3u8
东南卫视,http://23.237.228.134/live8/gansu.m3u8
