央视频道,#genre#
CCTV1,http://47.104.178.59:3566/608807420
CCTV1,http://39.165.39.49:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://182.61.15.73:80/608807420
CCTV1,http://110.154.192.30:7788/608807420
CCTV1,http://110.154.192.30:7788/608807420
CCTV1,http://111.228.4.117:6789/migu720p.php?id=608807420
CCTV1,http://120.202.94.181:9446/tsfile/live/0001_1.m3u8?key=txiptv
CCTV1,http://110.244.139.249:7788/608807420
CCTV1,http://116.52.173.217:1234/608807420
CCTV1,http://116.52.173.217:1234/608807420
CCTV2,http://47.104.178.59:3566/631780532
CCTV2,http://39.165.39.49:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2,http://182.61.15.73:80/631780532
CCTV2,http://110.154.192.30:7788/631780532
CCTV2,http://110.154.192.30:7788/631780532
CCTV2,http://111.228.4.117:6789/migu720p.php?id=631780532
CCTV2,http://120.202.94.181:9446/tsfile/live/0002_1.m3u8?key=txiptv
CCTV2,http://110.244.139.249:7788/631780532
CCTV2,http://116.52.173.217:1234/631780532
CCTV2,http://116.52.173.217:1234/631780532
CCTV3,http://47.104.178.59:3566/624878271
CCTV3,http://39.165.39.49:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://182.61.15.73:80/624878271
CCTV3,http://110.154.192.30:7788/624878271
CCTV3,http://110.154.192.30:7788/624878271
CCTV3,http://111.228.4.117:6789/migu720p.php?id=624878271
CCTV3,http://120.202.94.181:9446/tsfile/live/0003_1.m3u8?key=txiptv
CCTV3,http://110.244.139.249:7788/624878271
CCTV3,http://116.52.173.217:1234/624878271
CCTV3,http://116.52.173.217:1234/624878271
CCTV4,http://47.104.178.59:3566/631780421
CCTV4,http://47.104.178.59:3566/608807419
CCTV4,http://47.104.178.59:3566/608807416
CCTV4,http://39.165.39.49:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://182.61.15.73:80/631780421
CCTV4,http://110.154.192.30:7788/631780421
CCTV4,http://110.154.192.30:7788/631780421
CCTV4,http://110.154.192.30:7788/608807416
CCTV4,http://111.228.4.117:6789/migu720p.php?id=631780421
CCTV4,http://120.202.94.181:9446/tsfile/live/0004_1.m3u8?key=txiptv
CCTV5,http://47.104.178.59:3566/641886683
CCTV5,http://39.165.39.49:85/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://182.61.15.73:80/641886683
CCTV5,http://110.154.192.30:7788/641886683
CCTV5,http://110.154.192.30:7788/641886683
CCTV5,http://111.228.4.117:6789/migu720p.php?id=641886683
CCTV5,http://110.244.139.249:7788/641886683
CCTV5,http://116.52.173.217:1234/641886683
CCTV5,http://116.52.173.217:1234/641886683
CCTV5,http://14.153.176.157:1234/641886683
CCTV5+,http://47.104.178.59:3566/641886773
CCTV5+,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/cctv/cctv5plusnew/600/index.m3u8?msisdn=2026061102020360b5c4c55ccd45dfb8054891bbab0c0b&mdspid=&spid=699004&netType=0&sid=5500516288&pid=2028597139&timestamp=20260611020203&Channel_ID=0116_2600000900-99000-201600010010027&ProgramID=641886773&ParentNodeID=-99&assertID=5500516288&client_ip=171.8.79.254&SecurityKey=20260611020203&promotionId=&mvid=5102048803&mcid=500020&playurlVersion=ZQ-A1-9.6.0.4-RELEASE&userid=&jmhm=&videocodec=h264&appCode=miguvideo_android&bean=mgspad&tid=android&conFee=0&encrypt=f69bf5aae44369350cdab860103dea9f
CCTV5+,http://39.165.39.49:85/tsfile/live/1089_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://182.61.15.73:80/641886773
CCTV5+,http://110.154.192.30:7788/641886773
CCTV5+,http://110.154.192.30:7788/641886773
CCTV5+,http://111.228.4.117:6789/migu720p.php?id=641886773
CCTV5+,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://120.198.95.220:9901/tsfile/live/1020_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5+,http://110.244.139.249:7788/641886773
CCTV6,http://182.61.15.73:80/624878396
CCTV6,http://110.154.192.30:7788/624878396
CCTV6,http://110.154.192.30:7788/624878396
CCTV6,http://120.202.94.181:9446/tsfile/live/0006_1.m3u8?key=txiptv
CCTV6,http://110.244.139.249:7788/624878396
CCTV6,http://116.52.173.217:1234/624878396
CCTV6,http://116.52.173.217:1234/624878396
CCTV6,http://14.153.176.157:1234/624878396
CCTV6,http://124.223.82.228:89/624878396
CCTV6,http://124.223.82.228:89/624878396
CCTV7,http://47.104.178.59:3566/673168121
CCTV7,http://39.165.39.49:85/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://182.61.15.73:80/673168121
CCTV7,http://110.154.192.30:7788/673168121
CCTV7,http://110.154.192.30:7788/673168121
CCTV7,http://111.228.4.117:6789/migu720p.php?id=673168121
CCTV7,http://120.202.94.181:9446/tsfile/live/0007_1.m3u8?key=txiptv
CCTV7,http://110.244.139.249:7788/673168121
CCTV7,http://116.52.173.217:1234/673168121
CCTV7,http://14.153.176.157:1234/673168121
CCTV8,http://47.104.178.59:3566/624878356
CCTV8,http://39.165.39.49:85/tsfile/live/1008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8,http://182.61.15.73:80/624878356
CCTV8,http://110.154.192.30:7788/624878356
CCTV8,http://110.154.192.30:7788/624878356
CCTV8,http://111.228.4.117:6789/migu720p.php?id=624878356
CCTV8,http://110.244.139.249:7788/624878356
CCTV8,http://116.52.173.217:1234/624878356
CCTV8,http://116.52.173.217:1234/624878356
CCTV8,http://14.153.176.157:1234/624878356
CCTV9,http://47.104.178.59:3566/673168140
CCTV9,http://39.165.39.49:85/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9,http://182.61.15.73:80/673168140
CCTV9,http://110.154.192.30:7788/673168140
CCTV9,http://110.154.192.30:7788/673168140
CCTV9,http://111.228.4.117:6789/migu720p.php?id=673168140
CCTV9,http://120.202.94.181:9446/tsfile/live/0009_1.m3u8?key=txiptv
CCTV9,http://110.244.139.249:7788/673168140
CCTV9,http://116.52.173.217:1234/673168140
CCTV9,http://116.52.173.217:1234/673168140
CCTV10,http://47.104.178.59:3566/624878405
CCTV10,http://39.165.39.49:85/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://182.61.15.73:80/624878405
CCTV10,http://110.154.192.30:7788/624878405
CCTV10,http://110.154.192.30:7788/624878405
CCTV10,http://111.228.4.117:6789/migu720p.php?id=624878405
CCTV10,http://110.244.139.249:7788/624878405
CCTV10,http://116.52.173.217:1234/624878405
CCTV10,http://14.153.176.157:1234/624878405
CCTV10,http://14.153.176.157:1234/624878405
CCTV11,http://39.165.39.49:85/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://182.61.15.73:80/667987558
CCTV11,http://110.154.192.30:7788/667987558
CCTV11,http://110.154.192.30:7788/667987558
CCTV11,http://111.228.4.117:6789/migu720p.php?id=667987558
CCTV11,http://120.202.94.181:9446/tsfile/live/0011_1.m3u8?key=txiptv
CCTV11,http://110.244.139.249:7788/667987558
CCTV11,http://116.52.173.217:1234/667987558
CCTV11,http://116.52.173.217:1234/667987558
CCTV11,http://14.153.176.157:1234/667987558
CCTV12,http://47.104.178.59:3566/673168185
CCTV12,http://39.165.39.49:85/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://182.61.15.73:80/673168185
CCTV12,http://110.154.192.30:7788/673168185
CCTV12,http://110.154.192.30:7788/673168185
CCTV12,http://120.202.94.181:9446/tsfile/live/0012_1.m3u8?key=txiptv
CCTV12,http://110.244.139.249:7788/673168185
CCTV12,http://116.52.173.217:1234/673168185
CCTV12,http://116.52.173.217:1234/673168185
CCTV12,http://14.153.176.157:1234/673168185
CCTV13,http://182.61.15.73:80/608807423
CCTV13,http://110.154.192.30:7788/608807423
CCTV13,http://111.228.4.117:6789/migu720p.php?id=608807423
CCTV13,http://110.244.139.249:7788/608807423
CCTV13,http://116.52.173.217:1234/608807423
CCTV13,http://14.153.176.157:1234/608807423
CCTV13,http://14.153.176.157:1234/608807423
CCTV13,http://124.223.82.228:89/608807423
CCTV13,http://116.236.204.18:1234/608807423
